"","filename","correct.binomial","global_region","drop"
"203","0169.jpg","Daboia russelii","Asia","n"
"204","0170.jpg","Daboia russelii","Asia","n"
"205","0171.jpg","Naja naja","Asia","n"
"206","0172.jpg","Naja naja","Asia","n"
"207","0173.jpg","Naja naja","Asia","n"
"208","0174.jpg","Naja naja","Asia","n"
"209","0175.jpg","Naja naja","Asia","n"
"210","0176.jpg","Naja naja","Asia","n"
"211","0177.jpg","Naja naja","Asia","n"
"212","0178.jpg","Naja naja","Asia","n"
"213","0179.jpg","Naja naja","Asia","n"
"214","0180.jpg","Naja naja","Asia","n"
"215","0181.jpg","Bungarus caeruleus","Asia","n"
"216","0182.jpg","Bungarus caeruleus","Asia","n"
"217","0184.jpg","Bungarus caeruleus","Asia","n"
"218","0185.jpg","Bungarus caeruleus","Asia","n"
"219","0186.jpg","Bungarus caeruleus","Asia","n"
"220","0187.jpg","Bungarus caeruleus","Asia","n"
"221","0188.jpg","Bungarus caeruleus","Asia","n"
"222","0189.jpg","Bungarus caeruleus","Asia","n"
"223","0190.jpg","Bungarus caeruleus","Asia","n"
"224","0191.jpg","Echis carinatus","Asia","n"
"225","0192.jpg","Echis carinatus","Asia","n"
"226","0193.jpg","Echis carinatus","Asia","n"
"227","0194.jpg","Echis carinatus","Asia","n"
"228","0195.jpg","Echis carinatus","Asia","n"
"229","0196.jpg","Echis carinatus","Asia","n"
"230","0197.jpg","Echis carinatus","Asia","n"
"231","0198.jpg","Echis carinatus","Asia","n"
"232","0199.jpg","Echis carinatus","Asia","n"
"233","0200.jpg","Echis carinatus","Asia","n"
"234","0201.jpg","Ophiophagus hannah","Asia","n"
"235","0202.jpg","Ophiophagus hannah","Asia","n"
"236","0203.jpg","Ophiophagus hannah","Asia","n"
"237","0204.jpg","Ophiophagus hannah","Asia","n"
"238","0205.jpg","Ophiophagus hannah","Asia","n"
"239","0206.jpg","Ophiophagus hannah","Asia","n"
"240","0207.jpg","Ophiophagus hannah","Asia","n"
"241","0208.jpg","Ophiophagus hannah","Asia","n"
"242","0209.jpg","Ophiophagus hannah","Asia","n"
"243","0210.jpg","Ophiophagus hannah","Asia","n"
"244","0211.jpg","Crotalus horridus","North America","n"
"245","0212.jpg","Crotalus horridus","North America","n"
"246","0213.jpg","Crotalus horridus","North America","n"
"247","0214.jpg","Crotalus horridus","North America","n"
"248","0215.jpg","Crotalus horridus","North America","n"
"249","0216.jpg","Crotalus horridus","North America","n"
"250","0217.jpg","Crotalus horridus","North America","n"
"251","0218.jpg","Crotalus horridus","North America","n"
"252","0219.jpg","Crotalus horridus","North America","n"
"253","0220.jpg","Crotalus horridus","North America","n"
"254","0221.jpg","Crotalus adamanteus","North America","n"
"255","0222.jpg","Crotalus adamanteus","North America","n"
"256","0223.jpg","Crotalus adamanteus","North America","n"
"257","0224.jpg","Crotalus adamanteus","North America","n"
"258","0225.jpg","Crotalus adamanteus","North America","n"
"259","0226.jpg","Crotalus adamanteus","North America","n"
"260","0227.jpg","Crotalus adamanteus","North America","n"
"261","0228.jpg","Crotalus adamanteus","North America","n"
"262","0229.jpg","Crotalus adamanteus","North America","n"
"263","0230.jpg","Crotalus adamanteus","North America","n"
"264","0231.jpg","Lampropeltis triangulum","North America","n"
"265","0233.jpg","Lampropeltis triangulum","North America","n"
"266","0234.jpg","Lampropeltis triangulum","North America","n"
"267","0235.jpg","Lampropeltis triangulum","North America","n"
"268","0236.jpg","Lampropeltis triangulum","North America","n"
"269","0237.jpg","Lampropeltis triangulum","North America","n"
"270","0238.jpg","Lampropeltis triangulum","North America","n"
"271","0239.jpg","Lampropeltis triangulum","North America","n"
"272","0240.jpg","Lampropeltis triangulum","North America","n"
"273","0241.jpg","Sonora semiannulata","North America","n"
"274","0242.jpg","Sonora semiannulata","North America","n"
"275","0243.jpg","Sonora semiannulata","North America","n"
"276","0244.jpg","Sonora semiannulata","North America","n"
"277","0245.jpg","Sonora semiannulata","North America","n"
"278","0246.jpg","Sonora semiannulata","North America","n"
"279","0247.jpg","Sonora semiannulata","North America","n"
"280","0248.jpg","Sonora semiannulata","North America","n"
"281","0249.jpg","Sonora semiannulata","North America","n"
"282","0250.jpg","Sonora semiannulata","North America","n"
"283","0251.jpg","Thamnophis radix","North America","n"
"284","0252.jpg","Thamnophis radix","North America","n"
"285","0253.jpg","Thamnophis radix","North America","n"
"286","0254.jpg","Thamnophis radix","North America","n"
"287","0255.jpg","Thamnophis radix","North America","n"
"288","0256.jpg","Thamnophis radix","North America","n"
"289","0257.jpg","Thamnophis radix","North America","n"
"290","0258.jpg","Thamnophis radix","North America","n"
"291","0259.jpg","Thamnophis radix","North America","n"
"292","0260.jpg","Thamnophis radix","North America","n"
"293","0261.jpg","Boa constrictor","South America","n"
"294","0262.jpg","Boa constrictor","North America","n"
"295","0263.jpg","Boa constrictor","North America","n"
"296","0264.jpg","Boa constrictor","South America","n"
"297","0265.jpg","Boa constrictor","North America","n"
"298","0266.jpg","Boa constrictor","South America","n"
"299","0267.jpg","Boa constrictor","South America","n"
"300","0268.jpg","Boa constrictor","North America","n"
"301","0269.jpg","Boa constrictor","North America","n"
"302","0270.jpg","Boa constrictor","North America","n"
"303","0274.jpg","Lycodon aulicus","Asia","n"
"304","0275.jpg","Lycodon aulicus","Asia","n"
"305","0276.jpg","Lycodon aulicus","Africa","n"
"306","0277.jpg","Lycodon aulicus","Asia","n"
"307","0278.jpg","Lycodon aulicus","Asia","n"
"308","0280.jpg","Lycodon aulicus","Asia","n"
"309","0281.jpg","Lachesis muta","South America","n"
"310","0282.jpg","Lachesis muta","South America","n"
"311","0283.jpg","Lachesis muta","South America","n"
"312","0284.jpg","Lachesis muta","South America","n"
"313","0285.jpg","Lachesis muta","South America","n"
"314","0286.jpg","Lachesis muta","South America","n"
"315","0287.jpg","Lachesis muta","South America","n"
"316","0288.jpg","Lachesis muta","South America","n"
"317","0289.jpg","Lachesis muta","South America","n"
"318","0290.jpg","Lachesis muta","South America","n"
"319","0291.jpg","Dasypeltis scabra","Africa","n"
"320","0292.jpg","Dasypeltis scabra","Africa","n"
"321","0293.jpg","Dasypeltis scabra","Africa","n"
"322","0294.jpg","Dasypeltis scabra","Africa","n"
"323","0295.jpg","Dasypeltis scabra","Africa","n"
"324","0296.jpg","Dasypeltis scabra","Africa","n"
"325","0297.jpg","Dasypeltis scabra","Africa","n"
"326","0298.jpg","Dasypeltis scabra","Africa","n"
"327","0299.jpg","Dasypeltis scabra","Africa","n"
"328","0300.jpg","Dasypeltis scabra","Africa","n"
"329","0301.jpg","Thelotornis capensis","Africa","n"
"330","0302.jpg","Thelotornis capensis","Africa","n"
"331","0303.jpg","Thelotornis capensis","Africa","n"
"332","0304.jpg","Thelotornis capensis","Africa","n"
"333","0305.jpg","Thelotornis capensis","Africa","n"
"334","0306.jpg","Thelotornis capensis","Africa","n"
"335","0307.jpg","Thelotornis capensis","Africa","n"
"336","0308.jpg","Thelotornis capensis","Africa","n"
"337","0309.jpg","Thelotornis capensis","Africa","n"
"338","0310.jpg","Thelotornis capensis","Africa","n"
"339","0311.jpg","Micrurus tener","North America","n"
"340","0312.jpg","Micrurus tener","North America","n"
"341","0313.jpg","Micrurus tener","North America","n"
"342","0314.jpg","Micrurus tener","North America","n"
"343","0315.jpg","Micrurus tener","North America","n"
"344","0316.jpg","Micrurus tener","North America","n"
"345","0317.jpg","Micrurus tener","North America","n"
"346","0318.jpg","Micrurus tener","North America","n"
"347","0319.jpg","Micrurus tener","North America","n"
"348","0320.jpg","Micrurus tener","North America","n"
"349","0321.jpg","Cylindrophis ruffus","Asia","n"
"350","0322.jpg","Cylindrophis ruffus","Asia","n"
"351","0323.jpg","Cylindrophis ruffus","Asia","n"
"352","0324.jpg","Cylindrophis ruffus","Asia","n"
"353","0326.jpg","Cylindrophis ruffus","Asia","n"
"354","0327.jpg","Cylindrophis ruffus","Asia","n"
"355","0328.jpg","Cylindrophis ruffus","Asia","n"
"356","0329.jpg","Cylindrophis ruffus","Asia","n"
"357","0330.jpg","Cylindrophis ruffus","Asia","n"
"358","0331.jpg","Pantherophis obsoletus","North America","n"
"359","0332.jpg","Pantherophis obsoletus","North America","n"
"360","0333.jpg","Pantherophis obsoletus","North America","n"
"361","0334.jpg","Pantherophis obsoletus","North America","n"
"362","0335.jpg","Pantherophis obsoletus","North America","n"
"363","0336.jpg","Pantherophis obsoletus","North America","n"
"364","0337.jpg","Pantherophis obsoletus","North America","n"
"365","0338.jpg","Pantherophis obsoletus","North America","n"
"366","0339.jpg","Pantherophis obsoletus","North America","n"
"367","0340.jpg","Pantherophis obsoletus","North America","n"
"368","0341.jpg","Indotyphlops braminus","North America","n"
"369","0342.jpg","Indotyphlops braminus","North America","n"
"370","0343.jpg","Indotyphlops braminus","North America","n"
"371","0344.jpg","Indotyphlops braminus","North America","n"
"372","0345.jpg","Indotyphlops braminus","Asia","n"
"373","0346.jpg","Indotyphlops braminus","North America","n"
"374","0347.jpg","Indotyphlops braminus","Asia","n"
"375","0348.jpg","Indotyphlops braminus","Asia","n"
"376","0349.jpg","Indotyphlops braminus","North America","n"
"377","0350.jpg","Indotyphlops braminus","North America","n"
"378","0352.jpg","Python molurus","Asia","n"
"379","0353.jpg","Python molurus","Asia","n"
"380","0354.jpg","Python molurus","Asia","n"
"381","0356.jpg","Python molurus","Asia","n"
"382","0358.jpg","Python molurus","Asia","n"
"383","0360.jpg","Python molurus","Asia","n"
"384","0361.jpg","Coluber constrictor","North America","n"
"385","0362.jpg","Coluber constrictor","North America","n"
"386","0363.jpg","Coluber constrictor","North America","n"
"387","0364.jpg","Coluber constrictor","North America","n"
"388","0365.jpg","Coluber constrictor","North America","n"
"389","0366.jpg","Coluber constrictor","North America","n"
"390","0367.jpg","Coluber constrictor","North America","n"
"391","0368.jpg","Coluber constrictor","North America","n"
"392","0369.jpg","Coluber constrictor","North America","n"
"393","0370.jpg","Coluber constrictor","North America","n"
"394","0371.jpg","Natrix natrix","Europe","n"
"395","0372.jpg","Natrix natrix","Europe","n"
"396","0373.jpg","Natrix natrix","Europe","n"
"397","0374.jpg","Natrix natrix","Europe","n"
"398","0375.jpg","Natrix natrix","Europe","n"
"399","0376.jpg","Natrix natrix","Europe","n"
"400","0377.jpg","Natrix natrix","Europe","n"
"401","0378.jpg","Natrix natrix","Europe","n"
"402","0379.jpg","Natrix natrix","Europe","n"
"403","0380.jpg","Natrix natrix","Europe","n"
"404","0381.jpg","Naja nigricollis","Africa","n"
"405","0382.jpg","Naja nigricollis","Africa","n"
"406","0383.jpg","Naja nigricollis","Africa","n"
"407","0384.jpg","Naja nigricollis","Africa","n"
"408","0385.jpg","Naja nigricollis","Africa","n"
"409","0386.jpg","Naja nigricollis","Africa","n"
"410","0387.jpg","Naja nigricollis","Africa","n"
"411","0388.jpg","Naja nigricollis","Africa","n"
"412","0389.jpg","Naja nigricollis","Africa","n"
"413","0390.jpg","Naja nigricollis","Africa","n"
"414","0391.jpg","Pituophis catenifer","North America","n"
"415","0392.jpg","Pituophis catenifer","North America","n"
"416","0393.jpg","Pituophis catenifer","North America","n"
"417","0394.jpg","Pituophis catenifer","North America","n"
"418","0395.jpg","Pituophis catenifer","North America","n"
"419","0396.jpg","Pituophis catenifer","North America","n"
"420","0397.jpg","Pituophis catenifer","North America","n"
"421","0398.jpg","Pituophis catenifer","North America","n"
"422","0399.jpg","Pituophis catenifer","North America","n"
"423","0400.jpg","Pituophis catenifer","North America","n"
"424","0401.jpg","Hierophis viridiflavus","Europe","n"
"425","0402.jpg","Hierophis viridiflavus","Europe","n"
"426","0403.jpg","Hierophis viridiflavus","Europe","n"
"427","0405.jpg","Hierophis viridiflavus","Europe","n"
"428","0406.jpg","Hierophis viridiflavus","Europe","n"
"429","0407.jpg","Hierophis viridiflavus","Europe","n"
"430","0408.jpg","Hierophis viridiflavus","Europe","n"
"431","0409.jpg","Hierophis viridiflavus","Europe","n"
"432","0410.jpg","Hierophis viridiflavus","Europe","n"
"433","0411.jpg","Opheodrys aestivus","North America","n"
"434","0412.jpg","Opheodrys aestivus","North America","n"
"435","0413.jpg","Opheodrys aestivus","North America","n"
"436","0414.jpg","Opheodrys aestivus","North America","n"
"437","0415.jpg","Opheodrys aestivus","North America","n"
"438","0416.jpg","Opheodrys aestivus","North America","n"
"439","0417.jpg","Opheodrys aestivus","North America","n"
"440","0418.jpg","Opheodrys aestivus","North America","n"
"441","0419.jpg","Opheodrys aestivus","North America","n"
"442","0420.jpg","Opheodrys aestivus","North America","n"
"443","0421.jpg","Natrix tessellata","Asia","n"
"444","0422.jpg","Natrix tessellata","Asia","n"
"445","0423.jpg","Natrix tessellata","Asia","n"
"446","0424.jpg","Natrix tessellata","Asia","n"
"447","0425.jpg","Natrix tessellata","Asia","n"
"448","0426.jpg","Natrix tessellata","Europe","n"
"449","0427.jpg","Natrix tessellata","Asia","n"
"450","0428.jpg","Natrix tessellata","Asia","n"
"451","0429.jpg","Natrix tessellata","Asia","n"
"452","0430.jpg","Natrix tessellata","Asia","n"
"453","0431.jpg","Bothrops asper","North America","n"
"454","0432.jpg","Bothrops asper","South America","n"
"455","0433.jpg","Bothrops asper","North America","n"
"456","0434.jpg","Bothrops asper","South America","n"
"457","0435.jpg","Bothrops asper","South America","n"
"458","0436.jpg","Bothrops asper","North America","n"
"459","0437.jpg","Bothrops asper","North America","n"
"460","0438.jpg","Bothrops asper","North America","n"
"461","0439.jpg","Bothrops asper","North America","n"
"462","0440.jpg","Bothrops asper","North America","n"
"463","0441.jpg","Bothriechis schlegelii","North America","n"
"464","0442.jpg","Bothriechis schlegelii","North America","n"
"465","0443.jpg","Bothriechis schlegelii","North America","n"
"466","0444.jpg","Bothriechis schlegelii","North America","n"
"467","0445.jpg","Bothriechis schlegelii","North America","n"
"468","0446.jpg","Bothriechis schlegelii","North America","n"
"469","0447.jpg","Bothriechis schlegelii","North America","n"
"470","0448.jpg","Bothriechis schlegelii","North America","n"
"471","0449.jpg","Bothriechis schlegelii","North America","n"
"472","0450.jpg","Bothriechis schlegelii","North America","n"
"473","0451.jpg","Boaedon fuliginosus","Africa","n"
"474","0452.jpg","Boaedon fuliginosus","Africa","n"
"475","0453.jpg","Boaedon fuliginosus","Africa","n"
"476","0454.jpg","Boaedon fuliginosus","Africa","n"
"477","0455.jpg","Boaedon fuliginosus","Africa","n"
"478","0456.jpg","Boaedon fuliginosus","Africa","n"
"479","0457.jpg","Boaedon fuliginosus","Africa","n"
"480","0458.jpg","Boaedon fuliginosus","Africa","n"
"481","0459.jpg","Boaedon fuliginosus","Africa","n"
"482","0461.jpg","Malpolon monspessulanus","Europe","n"
"483","0462.jpg","Malpolon monspessulanus","Europe","n"
"484","0463.jpg","Malpolon monspessulanus","Africa","n"
"485","0464.jpg","Malpolon monspessulanus","Europe","n"
"486","0465.jpg","Malpolon monspessulanus","Europe","n"
"487","0466.jpg","Malpolon monspessulanus","Europe","n"
"488","0467.jpg","Malpolon monspessulanus","Europe","n"
"489","0468.jpg","Malpolon monspessulanus","Europe","n"
"490","0469.jpg","Malpolon monspessulanus","Europe","n"
"491","0470.jpg","Malpolon monspessulanus","Europe","n"
"492","0471.jpg","Morelia spilota","Australasia/Oceania","n"
"493","0472.jpg","Morelia spilota","Australasia/Oceania","n"
"494","0473.jpg","Morelia spilota","Australasia/Oceania","n"
"495","0474.jpg","Morelia spilota","Australasia/Oceania","n"
"496","0475.jpg","Morelia spilota","Australasia/Oceania","n"
"497","0476.jpg","Morelia spilota","Australasia/Oceania","n"
"498","0477.jpg","Morelia spilota","Australasia/Oceania","n"
"499","0478.jpg","Morelia spilota","Australasia/Oceania","n"
"500","0479.jpg","Morelia spilota","Australasia/Oceania","n"
"501","0480.jpg","Morelia spilota","Australasia/Oceania","n"
"502","0481.jpg","Pseudonaja textilis","Australasia/Oceania","n"
"503","0482.jpg","Pseudonaja textilis","Australasia/Oceania","n"
"504","0483.jpg","Pseudonaja textilis","Australasia/Oceania","n"
"505","0484.jpg","Pseudonaja textilis","Australasia/Oceania","n"
"506","0485.jpg","Pseudonaja textilis","Australasia/Oceania","n"
"507","0486.jpg","Pseudonaja textilis","Australasia/Oceania","n"
"508","0487.jpg","Pseudonaja textilis","Australasia/Oceania","n"
"509","0488.jpg","Pseudonaja textilis","Australasia/Oceania","n"
"510","0489.jpg","Pseudonaja textilis","Australasia/Oceania","n"
"511","0490.jpg","Pseudonaja textilis","Australasia/Oceania","n"
"512","0491.jpg","Laticauda colubrina","Asia","n"
"513","0492.jpg","Laticauda colubrina","Asia","n"
"514","0493.jpg","Laticauda colubrina","Asia","n"
"515","0494.jpg","Laticauda colubrina","Asia","n"
"516","0495.jpg","Laticauda colubrina","Asia","n"
"517","0496.jpg","Laticauda colubrina","Asia","n"
"518","0498.jpg","Laticauda colubrina","Asia","n"
"519","0499.jpg","Laticauda colubrina","Asia","n"
